Latitude	Long 	YSIFNU
38.08911	-122.0688686	20.29630609
38.08911	-122.0688719	20.21829853
38.08911	-122.0688762	20.36259677
38.08911	-122.0688822	20.35303006
38.08911192	-122.0688898	20.2779714
38.08911429	-122.0688943	20.35115546
38.08911596	-122.0688969	20.52255749
38.08911955	-122.0688993	20.59426741
38.08912263	-122.0689019	20.86268973
38.08912333	-122.0689043	21.17122778
38.08912333	-122.0689069	21.38171124
38.08912429	-122.0689103	21.29081009
38.089125	-122.0689136	21.22532286
38.08912692	-122.068916	21.35689681
38.08912833	-122.0689186	20.20920068
38.08912929	-122.068921	21.4730624
38.08913	-122.0689236	19.0972869
38.08913096	-122.068926	20.11863575
38.08913167	-122.0689286	20.03691041
38.08913263	-122.068931	20.10287596
38.08913333	-122.0689336	20.44199335
38.08913429	-122.068936	23.69327169
38.08913596	-122.0689376	31.42421151
38.08913667	-122.0689393	21.20151715
38.08913762	-122.068941	18.60527058
38.08913833	-122.0689426	20.00290376
38.08913929	-122.0689443	20.88292169
38.08914	-122.068946	21.48973964
38.08914096	-122.0689476	22.50976804
38.08914167	-122.0689493	22.40244851
38.08914262	-122.068951	22.31513189
38.08914333	-122.0689526	22.50681432
38.08914429	-122.0689543	22.67955875
38.089145	-122.068956	22.53960951
38.089145	-122.0689576	22.7841538
38.08914596	-122.0689593	22.7528665
38.08914667	-122.068961	22.90104638
38.08914667	-122.0689617	22.96672398
38.08914667	-122.0689626	22.82798459
38.08914762	-122.0689643	23.29406456
38.08914833	-122.068966	23.39595991
38.08914833	-122.0689676	23.51410304
38.08914833	-122.0689693	23.28194289
38.08914833	-122.06897	23.14603223
38.08914833	-122.068971	23.14
38.08914833	-122.0689726	23.4364616
38.08914833	-122.0689733	23.42126938
38.08914833	-122.0689733	21.95264239
38.08914833	-122.0689743	22.95606285
38.08914833	-122.068975	26.33740011
38.08914833	-122.068975	25.29496127
38.08914929	-122.068975	23.63925779
38.08915	-122.068974	24.8163213
38.08915095	-122.0689724	23.95078894
38.08915262	-122.0689698	23.11605741
38.08915524	-122.0689655	23.20639704
38.08915762	-122.0689605	24.03564335
38.08915929	-122.0689555	24.06
38.08916191	-122.0689495	23.86518507
38.08916429	-122.0689438	24.17213899
38.08916595	-122.0689378	24.05301546
38.08916667	-122.0689312	23.90327542
38.08916762	-122.0689226	23.83143264
38.08916929	-122.0689136	23.87904467
38.08917191	-122.0689062	24.27290132
38.08917429	-122.0688976	24.52590321
38.08917786	-122.0688867	24.79594531
38.08918191	-122.0688769	27.33489983
38.08918524	-122.0688676	25.58224102
38.08918857	-122.0688586	30.06032281
38.08919191	-122.0688483	24.98941663
38.08919524	-122.0688367	34.44155371
38.08919857	-122.0688259	34.12273153
38.08920095	-122.0688169	29.13734975
38.08920357	-122.0688067	33.24298786
38.08920691	-122.068795	31.51477665
38.08921024	-122.0687824	29.92217797
38.08921262	-122.0687719	29.45
38.08921429	-122.0687617	28.64198519
38.0892169	-122.0687529	30.08291323
38.08922119	-122.0687433	23.85558
38.08922524	-122.0687326	27.64486851
38.08922952	-122.0687236	26.71375585
38.08923262	-122.0687162	27.2605732
38.08923619	-122.0687095	27.32703691
38.08923928	-122.068701	27.01901737
38.08924095	-122.0686919	26.92803394
38.08924357	-122.0686845	26.77
38.08924595	-122.0686788	26.76789757
38.08924762	-122.0686729	26.6339305
38.08924928	-122.0686662	26.87745369
38.08925285	-122.0686595	27.28980893
38.0892569	-122.0686529	27.2771333
38.08925833	-122.0686471	27.14458559
38.08925833	-122.0686431	27.42936425
38.08926023	-122.0686379	30.79629602
38.08926262	-122.0686312	31.82599486
38.08926523	-122.0686255	31.3
38.08926667	-122.0686233	31.1420561
38.08926762	-122.0686205	25.82123614
38.08926833	-122.0686164	26.80425679
38.08927023	-122.0686141	25.99820849
38.08927262	-122.0686114	25.63976583
38.08927333	-122.0686072	25.33935489
38.08927333	-122.0686041	25.05773712
38.08927333	-122.0686024	25.26
38.08927428	-122.0685998	25.2520834
38.08927595	-122.0685964	25.05672458
38.08927762	-122.0685931	24.98634688
38.08927928	-122.0685898	25.12344916
38.08928095	-122.0685864	24.98090084
38.08928167	-122.0685812	24.99907196
38.08928262	-122.0685764	24.97808914
